	Name	Value	p-Value	Confidence Interval 95 Lower	Confidence Interval 95 Upper	Confidence Interval 99 Lower	Confidence Interval 99 Upper	Confidence Interval 90 Lower	Confidence Interval 90 Upper
0	Intercept	-694.351453333	1.97086925822e-05	-1013.20126901	-375.501637654	-1113.3911424	-275.311764269	-961.938653869	-426.764252798
1	EPH_0x11:Frequency_A15:Voltage_A15_Squared	5.82269976237e-10	3.14733116031e-34	4.88718878367e-10	6.75821074107e-10	4.59322992938e-10	7.05216959535e-10	5.03759419997e-10	6.60780532477e-10
2	EPH_0x1b_minus_EPH_0x73:Frequency_A15:Voltage_A15_Squared	6.15500962572e-10	5.96987086885e-83	5.52977576061e-10	6.78024349083e-10	5.33331304148e-10	6.97670620996e-10	5.63029682546e-10	6.67972242597e-10
3	EPH_0x50:Frequency_A15:Voltage_A15_Squared	1.2048463813e-08	1.31190267768e-18	9.36642741725e-09	1.47305002087e-08	8.5236705026e-09	1.55732571234e-08	9.79762791603e-09	1.42992997099e-08
4	EPH_0x6a:Frequency_A15:Voltage_A15_Squared	1.13034713523e-08	6.41419413612e-09	7.48742187361e-09	1.51195208309e-08	6.28833222295e-09	1.63186104816e-08	8.10094167565e-09	1.45060010289e-08
5	EPH_0x73:Frequency_A15:Voltage_A15_Squared	2.18768860172e-10	1.46601219734e-06	1.29733214382e-10	3.07804505962e-10	1.01756186829e-10	3.35781533515e-10	1.44047790774e-10	2.9348992957e-10
6	EPH_0x14:Frequency_A15:Voltage_A15_Squared	1.10408457651e-09	2.97407793886e-24	8.91107231079e-10	1.31706192195e-09	8.24184898922e-10	1.38398425411e-09	9.25348353879e-10	1.28282079915e-09
7	EPH_0x19:Frequency_A15:Voltage_A15_Squared	9.56616278108e-11	0.915275778494	-1.66671904354e-09	1.85804229916e-09	-2.2204991859e-09	2.41182244152e-09	-1.38337485562e-09	1.57469811124e-09
8	Frequency_A15	0.124028249642	0.000544432860403	0.0537277994478	0.194328699835	0.0316377970158	0.216418702267	0.0650302520306	0.183026247253
9	Voltage_A15	2313.89292366	1.67131362045e-05	1260.38535069	3367.40049663	929.349279303	3698.43656802	1429.76149773	3198.02434959
10	Frequency_A15:Voltage_A15	-0.511257201127	0.000100872424693	-0.768952942389	-0.253561459865	-0.849926812905	-0.172587589349	-0.727522284572	-0.294992117682
11	Voltage_A15_Squared	-2562.72530968	1.40928445186e-05	-3719.42163966	-1406.02897969	-4082.88196847	-1042.56865088	-3533.45547037	-1591.99514898
12	Frequency_A15:Voltage_A15_Squared	0.664434325534	3.61381993827e-05	0.349182294492	0.979686356577	0.250122926975	1.07874572409	0.399866481047	0.929002170022
13	Voltage_A15:Voltage_A15_Squared	943.49900835	1.17752725064e-05	521.46627384	1365.53174286	388.853977532	1498.14403917	589.317972614	1297.68004409
14	Frequency_A15:Voltage_A15:Voltage_A15_Squared	-0.277203119772	1.92380219768e-05	-0.404335693335	-0.150070546208	-0.444283643191	-0.110122596352	-0.383896138816	-0.170510100727
